Offset(P)            #Ptr   #Hnd Access Name
0x00000000096aadc8      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000096aae60      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000096aaef8      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000096aaf90      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000096bc350      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x00000000096bc438      2      1 ------ \Device\NamedPipe\PCHFaultRepExecPipe
0x00000000096bcd18      2      1 ------ \Device\NamedPipe\Ctx_WinStation_API_service
0x00000000096be398      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x00000000096be6e8      2      1 ------ \Device\Afd\Endpoint
0x00000000096bea90      2      1 ------ \Device\NamedPipe\winreg
0x00000000096bff90      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\notepad.exe
0x00000000096c0028      1      1 ------ \Device\NamedPipe\wkssvc
0x00000000096c13c0      2      1 ------ \Device\NamedPipe\PCHHangRepExecPipe
0x00000000096c1a70      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wuauclt.exe
0x00000000096c4560      1      1 ------ \Device\NamedPipe\keysvc
0x00000000096c4d18      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\oleacc.dll
0x00000000096c5730      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-424-0
0x00000000096e4dd0      2      1 ------ \Device\NamedPipe\wkssvc
0x00000000096e56a0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x00000000096e5738      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x00000000096e81b0      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\narrator.exe
0x00000000096e87c8      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\Start Menu\Programs\Accessories\desktop.ini
0x00000000096e9608      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\logon.scr
0x00000000096ed788      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x00000000096f4cb8      2      1 RW-rw- \Device\NamedPipe\
0x00000000096f4e88      6      1 ------ \Device\Afd\Endpoint
0x00000000096f6b88      5      1 RWDr-- \Device\HarddiskVolume1\System Volume Information\tracking.log
0x00000000096f85d0      1      1 ------ \Device\NamedPipe\spoolss
0x00000000096f9638      2      1 ------ \Device\NamedPipe\spoolss
0x00000000096f9d20      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x00000000096f9e78      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\notepad.exe
0x00000000096fd450      3      1 ------ \Device\NamedPipe\net\NtControlPipe8
0x00000000096fdb08      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x00000000096fdd50      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x0000000009703210      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Policies\x86_policy.5.2.Microsoft.Windows.Networking.Dxmrtp_6595b64144ccf1df_x-ww_362e60dd\5.2.2.3.Policy
0x0000000009703dd8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Policies\x86_policy.1.0.Microsoft.Windows.GdiPlus_6595b64144ccf1df_x-ww_4e8510ac\1.0.2600.5512.Policy
0x0000000009704470      1      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\CyberDefenders
0x00000000097048c8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000009704aa8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000009704f90      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000009707950      3      1 R--rwd \Device\HarddiskVolume1\WINDOWS\Tasks
0x0000000009707f30      1      1 ------ \Device\NamedPipe\net\NtControlPipe8
0x0000000009708430      1      1 ------ \Device\NamedPipe\epmapper
0x0000000009708518      2      1 ------ \Device\NamedPipe\epmapper
0x0000000009708c08      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\netsetup.cpl
0x0000000009708e38      1      1 ------ \Device\NamedPipe\atsvc
0x0000000009709908      2      1 ------ \Device\NamedPipe\lsass
0x000000000970a9e0      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu\Programs\Accessories\Communications\Wireless Network Setup Wizard.lnk
0x000000000970b5b0      2      1 ------ \Device\NamedPipe\VBoxTrayIPC-CyberDefenders
0x000000000970b8c0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x000000000970b988      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x000000000970d980      1      1 R--r-- \Device\HarddiskVolume1\Program Files\Messenger\msmsgs.exe
0x000000000970dbd0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\devmgr.dll
0x000000000970ded0      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\filemgmt.dll
0x000000000970e028      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Policies\x86_policy.5.2.Microsoft.Windows.Networking.Rtcdll_6595b64144ccf1df_x-ww_c7b7206f\5.2.2.3.Policy
0x000000000970e8e8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.Networking.RtcRes_6595b64144ccf1df_5.2.2.3_en_16a24bc0.Manifest
0x000000000970eab8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.Networking.RtcDll_6595b64144ccf1df_5.2.2.3_x-ww_d6bd8b95.Manifest
0x000000000970ec88      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.Networking.Dxmrtp_6595b64144ccf1df_5.2.2.3_x-ww_468466a7.Manifest
0x000000000970ee58      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.GdiPlus_6595b64144ccf1df_1.0.2600.5512_x-ww_dfb54e0c.Manifest
0x0000000009715590      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x000000000971a4e8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\hdwwiz.cpl
0x000000000971a580      4      1 RW---- \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\NTUSER.DAT
0x000000000971a8c8      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\explorer.exe
0x000000000971b958      1      0 RWDrw- \Device\HarddiskVolume1\WINDOWS\system32\ntoskrnl.exe
0x000000000971bc28      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\Local Settings\Temporary Internet Files\Content.IE5\index.dat
0x000000000971bd40      1      0 RW-rwd \Device\HarddiskVolume1\Documents and Settings\LocalService\Local Settings\desktop.ini
0x000000000971c180      1      1 RW---- \Device\HarddiskVolume1\Documents and Settings\LocalService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x000000000971c308      1      1 R--r-- \Device\HarddiskVolume1\Program Files\Messenger\msmsgs.exe
0x0000000009721d18      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x0000000009723028      1      1 RW---- \Device\HarddiskVolume1\Documents and Settings\LocalService\ntuser.dat.LOG
0x0000000009723400      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\utildll.dll
0x0000000009724b38      3      1 ------ \Device\NamedPipe\net\NtControlPipe6
0x00000000097262c8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x0000000009726830      4      1 RW---- \Device\HarddiskVolume1\Documents and Settings\LocalService\NTUSER.DAT
0x0000000009729100      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\sndvol32.exe
0x000000000972abc0      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\mmsys.cpl
0x000000000972ae30      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x000000000972bcc0      1      0 R--rwd \Device\CdRom0\AUTORUN.INF
0x000000000972be58      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x000000000972e348      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Policies\x86_policy.6.0.Microsoft.Windows.Common-Controls_6595b64144ccf1df_x-ww_5ddad775\6.0.2600.5512.Policy
0x000000000972e490      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\Desktop\Secret\flag.txt.txt
0x000000000972f8b8      2      1 ------ \Device\Afd\Endpoint
0x00000000097326d0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x0000000009732900      3      1 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\drivers\etc
0x0000000009732cb8      1      1 ------ \Device\NamedPipe\lsarpc
0x00000000097334a8      1      1 RW---- \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\NTUSER.DAT.LOG
0x0000000009735658      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x00000000097357b0      1      1 ------ \Device\Afd\Endpoint
0x0000000009735878      2      1 ------ \Device\NamedPipe\lsass
0x0000000009736708      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Resources\Themes\Luna\luna.msstyles
0x0000000009736d18      1      1 ------ \Device\Afd\Endpoint
0x000000000973dc80      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x000000000973dd18      1      1 ------ \Device\NamedPipe\net\NtControlPipe5
0x000000000973df90      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x000000000973e028      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\wpa.dbl
0x000000000973e920      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Outlook Express\msimn.exe
0x000000000973ea08      2      1 ------ \Device\NamedPipe\winlogonrpc
0x000000000973f380      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\devmgr.dll
0x000000000973f6e8      1      1 ------ \Device\NamedPipe\lsass
0x000000000973f788      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\Start Menu\desktop.ini
0x0000000009740ef8      2      1 ------ \Device\NamedPipe\srvsvc
0x0000000009740f90      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x0000000009741e58      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000009745418      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x000000000992a5b0      1      1 ------ \Device\NamedPipe\InitShutdown
0x0000000009937358      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x0000000009937920      1      1 ------ \Device\NamedPipe\net\NtControlPipe7
0x0000000009937e58      3      1 ------ \Device\NamedPipe\net\NtControlPipe0
0x0000000009947028      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\msagent
0x00000000099478d8      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\IME\TINTLGNT
0x0000000009948588      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\inf
0x0000000009948648      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\System\Ole DB
0x0000000009948a20      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0408
0x0000000009948e98      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\040b
0x0000000009949028      3      1 ------ \Device\NamedPipe\net\NtControlPipe3
0x0000000009949258      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\040D
0x0000000009949318      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\040C
0x0000000009949f28      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\040e
0x000000000994ac68      2      1 ------ \Device\Afd\Endpoint
0x000000000994af90      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\drivers\suzmkbtuoyeki.sys
0x000000000994b320      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\ime\imkr6_1
0x000000000994ba58      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\main.cpl
0x000000000994c6d0      2      1 ------ \Device\Afd\Endpoint
0x000000000994c840      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-3c8-0
0x000000000994cb50      2      1 ------ \Device\Afd\Endpoint
0x000000000994cf90      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0410
0x000000000994ea00      1      1 ------ \Device\Afd\Endpoint
0x000000000994f318      1      1 ------ \Device\NamedPipe\net\NtControlPipe1
0x000000000994f820      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x000000000994f8b8      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x000000000994f950      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x000000000994f9e8      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000009950530      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\Speech
0x0000000009950c70      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Resources\Themes\Luna\Shell\Metallic
0x0000000009950f00      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Resources\Themes\Luna\Shell\Homestead
0x0000000009951318      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Resources\Themes\Luna\Shell\NormalColor
0x00000000099525e0      1      1 ------ \Device\NamedPipe\winlogonrpc
0x0000000009952aa8      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000009952b40      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000009952bd8      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000009952c70      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000009955ed0      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0412
0x0000000009955f90      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0411
0x0000000009956228      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\0407
0x0000000009958b78      2      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\system32\config\systemprofile\Local Settings\Temporary Internet Files\Content.IE5\index.dat
0x000000000995e330      1      1 RW---- \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x0000000009961a08      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\wbem\Repository\$WinMgmt.CFG
0x0000000009964330      1      0 RW-rwd \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\Local Settings\desktop.ini
0x0000000009965c00      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x0000000009966298      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.SystemCompatible_6595b64144ccf1df_5.1.2600.2000_x-ww_bcc9a281.Manifest
0x0000000009966738      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wuauclt.exe
0x00000000099667d0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wuaucpl.cpl
0x0000000009966c50      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x0000000009969128      2      1 ------ \Device\NamedPipe\TerminalServer\AutoReconnect
0x0000000009969330      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\firewall.cpl
0x000000000996a200      1      1 RW---- \Device\HarddiskVolume1\Documents and Settings\NetworkService\ntuser.dat.LOG
0x000000000996a3b8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x000000000996b718      3      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x000000000996ba28      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x000000000996bbe8      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\SchedLgU.Txt
0x000000000996c328      2      1 ------ \Device\NamedPipe\DAV RPC SERVICE
0x000000000996c5a0      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x000000000996c638      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x000000000996ccc8      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu\Programs\Accessories\System Tools\System Information.lnk
0x000000000996cd68      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\taskmgr.exe
0x000000000996ce00      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.GdiPlus_6595b64144ccf1df_1.0.2600.5512_x-ww_dfb54e0c
0x000000000996d328      1      1 ------ \Device\NamedPipe\DAV RPC SERVICE
0x000000000996e028      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\LocalService\Local Settings\History\History.IE5\index.dat
0x000000000996e1a0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\jscript.dll
0x000000000996ef90      1      1 ------ \Device\NamedPipe\trkwks
0x000000000996ff50      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\web server extensions\40\bots\vinavbar
0x0000000009970378      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\access.cpl
0x0000000009970410      2      1 ------ \Device\Afd\Endpoint
0x0000000009970850      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\bthprops.cpl
0x0000000009970a08      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\system32\wbem\Repository\FS\MAPPING.VER
0x0000000009970f90      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\srchasst\srchui.dll
0x0000000009971cc8      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000009973608      2      1 R--rw- \Device\HarddiskVolume1\Program Files\microsoft frontpage\version3.0\bin
0x0000000009974418      1      1 ------ \Device\NamedPipe\protected_storage
0x00000000099744b0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\win.ini
0x0000000009975028      1      1 ------ \Device\Afd\Endpoint
0x0000000009975bd8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x0000000009975c70      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x0000000009976028      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\srchasst\chars\rover.acs
0x00000000099766a8      2      1 R--rw- \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\web server extensions\40\servsupp
0x0000000009976740      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\drivers
0x0000000009978250      3      1 R--rwd \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\Desktop
0x00000000099786e8      1      1 ------ \Device\NamedPipe\EVENTLOG
0x000000000997a248      1      1 ------ \Device\NamedPipe\Ctx_WinStation_API_service
0x000000000997c028      3      1 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wbem\mof
0x000000000997c2b0      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\es.dll
0x000000000997c710      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\Start Menu\Programs\Startup\desktop.ini
0x000000000997cf90      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\srchasst\mui\0409\lclsrch.xml
0x000000000997d028      3      1 R--rwd \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\Local Settings\Application Data\Microsoft\CD Burning
0x000000000997db68      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mshtml.dll
0x000000000997dc68      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\zipfldr.dll
0x000000000997e8a8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wuaucpl.cpl.manifest
0x000000000997ef90      3      1 R--rwd \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\Start Menu
0x000000000997f328      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\appwiz.cpl
