2015-10-09 12:53:02 UTC+0000|[LIVE RESPONSE]| (System time)|
2015-10-09 11:39:22 UTC+0000|[DLL LOADTIME (dll)]| KERNELBASE.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x751e0000
2009-07-14 01:06:33 UTC+0000|[PE HEADER (dll)]| LPK.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x75c00000
2009-07-13 23:25:32 UTC+0000|[PE DEBUG]| LPK.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x75c00000
2015-10-09 11:39:22 UTC+0000|[DLL LOADTIME (dll)]| LPK.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x75c00000
2009-07-14 01:11:11 UTC+0000|[PE HEADER (dll)]| USER32.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x76c10000
-|[PE DEBUG]| USER32.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x76c10000
2015-10-09 11:39:22 UTC+0000|[DLL LOADTIME (dll)]| USER32.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x76c10000
2009-07-14 01:07:59 UTC+0000|[PE HEADER (dll)]| msvcrt.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x75690000
-|[PE DEBUG]| msvcrt.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x75690000
2015-10-09 11:39:22 UTC+0000|[DLL LOADTIME (dll)]| msvcrt.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x75690000
2015-10-09 11:30:53 UTC+0000|[PROCESS]| svchost.exe| PID: 1256/PPID: 528/POffset: 0x3e056d40
2009-07-14 04:37:09 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\VERSIONS| svchost.exe PID: 1256/PPID: 528/POffset: 0x3e056d40
2015-10-09 10:48:49 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER| svchost.exe PID: 1256/PPID: 528/POffset: 0x3e056d40
2009-07-14 04:34:14 UTC+0000|[Handle (Key)]| USER\S-1-5-19\CONTROL PANEL\INTERNATIONAL| svchost.exe PID: 1256/PPID: 528/POffset: 0x3e056d40
2015-10-09 11:31:07 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\SHAREDACCESS\EPOCH| svchost.exe PID: 1256/PPID: 528/POffset: 0x3e056d40
2015-10-09 07:42:34 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\PROTOCOL_CATALOG9| svchost.exe PID: 1256/PPID: 528/POffset: 0x3e056d40
2009-07-14 04:42:26 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\NAMESPACE_CATALOG5| svchost.exe PID: 1256/PPID: 528/POffset: 0x3e056d40
2015-10-09 11:30:55 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\SHAREDACCESS\EPOCH2| svchost.exe PID: 1256/PPID: 528/POffset: 0x3e056d40
2009-07-14 04:37:09 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\SHAREDACCESS\PARAMETERS\FIREWALLPOLICY\RESTRICTEDSERVICES\CONFIGURABLE| svchost.exe PID: 1256/PPID: 528/POffset: 0x3e056d40
2015-10-09 05:37:19 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1256/PPID: 528/POffset: 0x3e056d40
2009-07-14 04:42:29 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\SQMCLIENT\WINDOWS\ADAPTIVESQM\MANIFESTINFO| svchost.exe PID: 1256/PPID: 528/POffset: 0x3e056d40
2009-07-13 23:19:28 UTC+0000|[PE HEADER (exe)]| svchost.exe| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x005e0000
2009-07-13 23:19:28 UTC+0000|[PE DEBUG]| svchost.exe| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x005e0000
1970-01-01 00:00:00 UTC+0000|[DLL LOADTIME (exe)]| svchost.exe| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x005e0000
2009-07-14 01:09:47 UTC+0000|[PE HEADER (dll)]| ntdll.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x76f80000
-|[PE DEBUG]| ntdll.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x76f80000
1970-01-01 00:00:00 UTC+0000|[DLL LOADTIME (dll)]| ntdll.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x76f80000
2009-07-14 01:08:07 UTC+0000|[PE HEADER (dll)]| mswsock.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x74b10000
-|[PE DEBUG]| mswsock.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x74b10000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| mswsock.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x74b10000
2009-07-14 01:11:38 UTC+0000|[PE HEADER (dll)]| WS2_32.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x75740000
2009-07-13 23:12:25 UTC+0000|[PE DEBUG]| WS2_32.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x75740000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| WS2_32.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x75740000
2009-07-13 23:11:08 UTC+0000|[PE HEADER (dll)]| pcwum.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x746d0000
2009-07-13 23:11:08 UTC+0000|[PE DEBUG]| pcwum.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x746d0000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| pcwum.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x746d0000
2009-07-14 01:08:05 UTC+0000|[PE HEADER (dll)]| netprofm.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x72160000
2009-07-13 23:56:54 UTC+0000|[PE DEBUG]| netprofm.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x72160000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| netprofm.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x72160000
2009-07-14 01:06:35 UTC+0000|[PE HEADER (dll)]| IPHLPAPI.DLL| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73410000
2009-07-13 23:12:13 UTC+0000|[PE DEBUG]| IPHLPAPI.DLL| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73410000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| IPHLPAPI.DLL| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73410000
2009-07-14 01:04:53 UTC+0000|[PE HEADER (dll)]| dhcpcsvc.DLL| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73190000
-|[PE DEBUG]| dhcpcsvc.DLL| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73190000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| dhcpcsvc.DLL| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73190000
2009-07-14 01:09:27 UTC+0000|[PE HEADER (dll)]| ole32.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x759b0000
-|[PE DEBUG]| ole32.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x759b0000
2015-10-09 11:30:53 UTC+0000|[DLL LOADTIME (dll)]| ole32.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x759b0000
2009-07-14 01:10:29 UTC+0000|[PE HEADER (dll)]| SHLWAPI.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x75950000
-|[PE DEBUG]| SHLWAPI.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x75950000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| SHLWAPI.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x75950000
2009-07-14 01:04:06 UTC+0000|[PE HEADER (dll)]| bcrypt.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x74c60000
2009-07-13 23:32:55 UTC+0000|[PE DEBUG]| bcrypt.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x74c60000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| bcrypt.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x74c60000
2009-07-14 01:05:53 UTC+0000|[PE HEADER (dll)]| FirewallAPI.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x745d0000
-|[PE DEBUG]| FirewallAPI.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x745d0000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| FirewallAPI.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x745d0000
2009-07-14 01:09:50 UTC+0000|[PE HEADER (dll)]| RPCRT4.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x757e0000
2009-07-13 23:13:01 UTC+0000|[PE DEBUG]| RPCRT4.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x757e0000
2015-10-09 11:30:53 UTC+0000|[DLL LOADTIME (dll)]| RPCRT4.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x757e0000
2009-07-14 01:10:58 UTC+0000|[PE HEADER (dll)]| taskschd.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73320000
2009-07-13 23:30:30 UTC+0000|[PE DEBUG]| taskschd.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73320000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| taskschd.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73320000
2009-07-14 01:09:45 UTC+0000|[PE HEADER (dll)]| NSI.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x755f0000
2009-07-13 23:12:06 UTC+0000|[PE DEBUG]| NSI.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x755f0000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| NSI.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x755f0000
2009-07-14 01:06:33 UTC+0000|[PE HEADER (dll)]| LPK.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x75c00000
2009-07-13 23:25:32 UTC+0000|[PE DEBUG]| LPK.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x75c00000
2015-10-09 11:30:53 UTC+0000|[DLL LOADTIME (dll)]| LPK.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x75c00000
2009-07-14 01:04:54 UTC+0000|[PE HEADER (dll)]| dhcpcsvc6.DLL| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73210000
2009-07-13 23:12:06 UTC+0000|[PE DEBUG]| dhcpcsvc6.DLL| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73210000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| dhcpcsvc6.DLL| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73210000
2009-07-14 01:10:37 UTC+0000|[PE HEADER (dll)]| slc.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73520000
2009-07-13 23:35:26 UTC+0000|[PE DEBUG]| slc.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73520000
2015-10-09 11:30:53 UTC+0000|[DLL LOADTIME (dll)]| slc.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73520000
2009-07-13 23:12:01 UTC+0000|[PE HEADER (dll)]| CRYPTBASE.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x75020000
2009-07-13 23:12:01 UTC+0000|[PE DEBUG]| CRYPTBASE.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x75020000
2015-10-09 11:30:53 UTC+0000|[DLL LOADTIME (dll)]| CRYPTBASE.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x75020000
2009-07-14 01:06:15 UTC+0000|[PE HEADER (dll)]| fwpuclnt.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73230000
-|[PE DEBUG]| fwpuclnt.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73230000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| fwpuclnt.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x73230000
2009-07-14 01:11:54 UTC+0000|[PE HEADER (dll)]| wshtcpip.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x74650000
2009-07-13 23:12:08 UTC+0000|[PE DEBUG]| wshtcpip.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x74650000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| wshtcpip.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x74650000
2009-07-14 01:12:02 UTC+0000|[PE HEADER (dll)]| WLDAP32.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x76860000
-|[PE DEBUG]| WLDAP32.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x76860000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| WLDAP32.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x76860000
2009-07-14 01:10:36 UTC+0000|[PE HEADER (dll)]| secur32.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x74e70000
2009-07-13 23:33:59 UTC+0000|[PE DEBUG]| secur32.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x74e70000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| secur32.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x74e70000
2009-07-14 01:07:59 UTC+0000|[PE HEADER (dll)]| msvcrt.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x75690000
-|[PE DEBUG]| msvcrt.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x75690000
2015-10-09 11:30:53 UTC+0000|[DLL LOADTIME (dll)]| msvcrt.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x75690000
2009-07-13 23:27:16 UTC+0000|[PE HEADER (dll)]| wdiasqmmodule.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x715f0000
-|[PE DEBUG]| wdiasqmmodule.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x715f0000
2015-10-09 11:30:55 UTC+0000|[DLL LOADTIME (dll)]| wdiasqmmodule.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x715f0000
2009-07-13 23:43:47 UTC+0000|[PE HEADER (dll)]| RpcRtRemote.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x750c0000
2009-07-13 23:43:47 UTC+0000|[PE DEBUG]| RpcRtRemote.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x750c0000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| RpcRtRemote.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x750c0000
2009-07-13 23:52:47 UTC+0000|[PE HEADER (dll)]| wfapigp.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x72ed0000
-|[PE DEBUG]| wfapigp.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x72ed0000
2015-10-09 11:30:54 UTC+0000|[DLL LOADTIME (dll)]| wfapigp.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x72ed0000
2009-07-14 01:07:53 UTC+0000|[PE HEADER (dll)]| MSCTF.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x770e0000
-|[PE DEBUG]| MSCTF.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x770e0000
2015-10-09 11:30:53 UTC+0000|[DLL LOADTIME (dll)]| MSCTF.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x770e0000
2009-07-14 01:11:04 UTC+0000|[PE HEADER (dll)]| wdi.dll| Process: svchost.exe/PID: 1256/PPID: 528/Process POffset: 0x3e056d40/DLL Base: 0x71fb0000
