Offset(P)            #Ptr   #Hnd Access Name
0x000000001c966610      2      2 RW-rwd \Device\HarddiskVolume1\Users\0xSh3rl0ck\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db
0x000000001ccd1138     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001ccd1878      1      1 ------ \Device\Afd\Endpoint
0x000000001cdad190      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\dfsc.sys
0x000000001cdad380      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\discache.sys
0x000000001cdadc30      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\i8042prt.sys
0x000000001cf7d7d8      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\dumpfve.sys
0x000000001cfd7ef0      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\icm32.dll
0x000000001cff9590      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\blbdrive.sys
0x000000001cff98a0      8      0 RW---- \Device\HarddiskVolume1\Windows\bootstat.dat
0x000000001d1ba608      5      0 R--r-- \Device\HarddiskVolume1\Windows\System32\apisetschema.dll
0x000000001d251320      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wecsvc.dll
0x000000001d2514a0      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\wercplsupport.dll.mui
0x000000001d2517d8      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\wdi.dll.mui
0x000000001d251988      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wercplsupport.dll
0x000000001d251bd0      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wdi.dll
0x000000001d251e08      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\en-US\wdf01000.sys.mui
0x000000001d323190      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\cdrom.sys
0x000000001d323490      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\videoprt.sys
0x000000001d323d20     16      0 R--r-- \Device\HarddiskVolume1\Windows\System32\ntdll.dll
0x000000001d339ac0     12      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001d3420d0     15      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\mssmbios.sys
0x000000001d342840      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\nsiproxy.sys
0x000000001d45f278      2      1 RWDrwd \Device\clfs\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x000000001d45f3a0      6      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001d45f580      2      1 ------ \Device\NamedPipe\srvsvc
0x000000001d4824f0      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\CompositeBus.sys
0x000000001d573408      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\smss.exe
0x000000001d9f1528      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\en-US\ndis.sys.mui
0x000000001d9f1bb0      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\portcls.sys
0x000000001d9f1c98      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\en-US\bthpan.sys.mui
0x000000001da32348     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001db58e40      8      0 R--r-- \Device\HarddiskVolume1\Windows\inf\netnwifi.PNF
0x000000001dbaad68      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001dbaaed8      8      0 -W---- \Device\HarddiskVolume1\Windows\PFRO.log
0x000000001dd44108      4      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001dd443c0     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001dd44c08      1      1 ------ \Device\Afd\Endpoint
0x000000001ddcba30      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001ddcbda0      8      0 RW-rwd \Device\HarddiskVolume1\Users\0xSh3rl0ck\AppData\Local\Microsoft\Windows\Explorer\thumbcache_1024.db
0x000000001e00a1b8     15      0 R--rwd \Device\HarddiskVolume1\Windows\System32\taskeng.exe
0x000000001e00ad20      1      1 RW---- \Device\HarddiskVolume1\System Volume Information\Syscache.hve.LOG2
0x000000001e33c118     16      0 RW-rwd \Device\HarddiskVolume1\$Mft
0x000000001e33c400      8      0 R--r-- \Device\HarddiskVolume1\Windows\System32\CodeIntegrity\driver.stl
0x000000001e33c5b0      6      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\plugins\vmusr\dndcp.dll
0x000000001e33cf80      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\dnsapi.dll
0x000000001e5d6210      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\kbdclass.sys
0x000000001e6c80d8      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\cfgmgr32.dll
0x000000001e6c8c10      1      1 R--rwd \Device\HarddiskVolume1\Windows\System32
0x000000001e6c8ef0      1      1 ------ \Device\Afd\Endpoint
0x000000001e95a9b0      1      1 ------ \Device\Afd\Endpoint
0x000000001f07b858     17      0 RW-rwd \Device\HarddiskVolume1\$Mft
0x000000001f07be70      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\accessibilitycpl.dll
0x000000001f26f510      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\vmmouse.sys
0x000000001f26ff80      1      1 RW---- \Device\HarddiskVolume1\System Volume Information\Syscache.hve
0x000000001f31bf80      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mycomput.dll
0x000000001f3672a0      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\dwm.exe
0x000000001f367680     13      0 R--rwd \Device\HarddiskVolume1\Program Files\Process Hacker 2\plugins\ExtendedTools.dll
0x000000001f407270      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\accessibilitycpl.dll.mui
0x000000001f407458      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\eapsvc.dll.mui
0x000000001f407b98      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\dps.dll.mui
0x000000001f407dd0      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dps.dll
0x000000001f62b318      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\dot3svc.dll.mui
0x000000001f62b430      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\eapsvc.dll
0x000000001f62b678      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dot3svc.dll
0x000000001f62bc40      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\dnsapi.dll.mui
0x000000001f62bec8      7      0 R--r-d \Device\HarddiskVolume1\Windows\Microsoft.NET\Framework\v4.0.30319\ServiceModelInstallRC.dll
0x000000001f62bf80      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\UtcResources.dll
0x000000001f6e82e8      2      1 ------ \Device\Afd\Endpoint
0x000000001f6e8428      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\sechost.dll
0x000000001f6e84e0      8      0 R--r-- \Device\HarddiskVolume1\ProgramData\Microsoft\User Account Pictures\user.bmp
0x000000001f6e8608      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\api-ms-win-crt-utility-l1-1-0.dll
0x000000001f6e8810      1      1 ------ \Device\Afd\Endpoint
0x000000001f6e8af0      1      1 ------ \Device\Afd\Endpoint
0x000000001f6e8e58      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\audiodg.exe
0x000000001f6e8f80      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\sppsvc.exe
0x000000001f712800      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000001f7128b8      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\version.dll
0x000000001f7536f8      1      1 ------ \Device\Afd\Endpoint
0x000000001f7e2270      1      1 ------ \Device\Afd\Endpoint
0x000000001f9b7438      2      1 RW-r-- \Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
0x000000001fa0f758      8      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001fb834c0      1      1 ------ \Device\NamedPipe\ProtectedPrefix
0x000000001fb83848      1      1 R--rw- \Device\HarddiskVolume1\Windows
0x000000001fc180f8      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000001fc181b0      8      0 R--rwd \Device\HarddiskVolume1\Users\0xSh3rl0ck\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Desktop.ini
0x000000001fc18398      7      0 R--rwd \Device\HarddiskVolume1\Users\Public\Desktop\desktop.ini
0x000000001fc18790      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_41e855142bd5705d
0x000000001fef76b8      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\conhost.exe.mui
0x000000001fef7dc8     10      0 R--rwd \Device\HarddiskVolume1\Program Files\Process Hacker 2\plugins\HardwareDevices.dll
0x000000001ff1e718      8      0 R--r-d \Device\HarddiskVolume1\Windows\Fonts\ega80woa.fon
0x00000000202b7130      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\vm3dmp_loader.sys
0x00000000202b71d8      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\serenum.sys
0x00000000202b7dc8      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\mouclass.sys
0x00000000203fc688      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\RDPCDD.sys
0x00000000203fc730      1      1 R----- \Device\HarddiskVolume1\System Volume Information\{c3ed231f-a9a7-11ed-8c45-50eb71124999}{3808876b-c176-4e48-b7ae-04046e6cc752}
0x00000000203fc900      3      0 R--r-- \Device\HarddiskVolume1\Windows\System32\CodeIntegrity\bootcat.cache
0x000000002042b0b0      8      0 R--r-- \Device\HarddiskVolume1\Windows\System32\DriverStore\infstrng.dat
0x000000002042b288      1      1 R--r-- \Device\HarddiskVolume1\Windows\Registration\R000000000006.clb
0x000000002042b4b0      2      0 R--r-d \Device\HarddiskVolume1\Windows\System32\Tasks\Microsoft\Windows\Diagnosis\Scheduled
0x000000002042b738      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000002042b7f0      2      1 R--rwd \Device\HarddiskVolume1\Users\0xSh3rl0ck\AppData\Roaming\Microsoft\Credentials
0x0000000020467340      1      1 RW---- \Device\HarddiskVolume1\Boot\BCD
0x00000000204677d8      1      1 RW---- \Device\HarddiskVolume1\Windows\System32\config\SYSTEM
0x0000000020467a78      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\irenum.sys
0x0000000020467bf8      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\IPBusEnum.dll.mui
0x000000002057d350     10      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000002057d520      1      1 RW---- \Device\HarddiskVolume1\Windows\System32\config\SECURITY.LOG1
0x000000002057d960      7      0 R--r-d \Device\HarddiskVolume1\Windows\ehome\ehrecvr.exe
0x000000002057dc70      8      0 R--r-d \Device\HarddiskVolume1\Windows\ehome\en-US\ehrecvr.exe.mui
0x000000002057de00      8      0 R--r-d \Device\HarddiskVolume1\Windows\Microsoft.NET\Framework\v4.0.30319\en-US\ServiceModelInstallRC.dll.mui
0x000000002057deb8      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\efssvc.dll
0x000000002062f390      8      0 R--r-- \Device\HarddiskVolume1\Windows\inf\netavpnt.PNF
0x000000002062f8f8      4      0 R--r-d \Device\HarddiskVolume1\Program Files\Windows Defender\MpEvMsg.dll
0x00000000206d6430      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\avicap32.dll.mui
0x00000000206d6848      1      1 R--r-- \Device\HarddiskVolume1\Windows\Registration\R000000000006.clb
0x00000000206ffdc8      8      0 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Mobility Center.lnk
0x000000002070f640      2      0 R--r-d \Device\HarddiskVolume1\Windows\System32\VaultCredProvider.dll
0x000000002070f6f8      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\BioCredProv.dll
0x00000000207e1198      1      1 ------ \Device\NamedPipe\ProtectedPrefix\Administrators
0x00000000207e1250      1      1 ------ \Device\Mailslot\ProtectedPrefix
0x0000000020880038      1      1 ------ \Device\Mailslot\ProtectedPrefix\Administrators
0x0000000020880618      1      1 ------ \Device\Mailslot\ProtectedPrefix\NetWorkService
0x00000000208806d0      1      1 ------ \Device\NamedPipe\ProtectedPrefix\NetWorkService
0x0000000020880788      1      1 ------ \Device\Mailslot\ProtectedPrefix\LocalService
0x0000000020880840      1      1 ------ \Device\NamedPipe\ProtectedPrefix\LocalService
0x0000000020880bb0      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\vm3dmp.sys
0x0000000020966a68      3      0 RW-rwd \Device\HarddiskVolume1\$MftMirr
0x0000000020966e70     12      0 R--rwd \Device\HarddiskVolume1\Program Files\Windows Defender\MpSvc.dll
0x0000000020cf7408      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\oleaut32.dll
0x0000000020cf7570      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dnsapi.dll
0x0000000020fbb240      7      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x00000000210d57e0      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x00000000210d5c88      1      1 ------ \Device\Afd\Endpoint
0x00000000210d5e28      1      1 ------ \Device\Afd\Endpoint
0x00000000210f1468      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\normaliz.dll
0x00000000210f1830      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\user32.dll
0x00000000210f18e8      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\shlwapi.dll
0x00000000210f1b50      1      1 RW---- \Device\HarddiskVolume1\Windows\System32\config\SOFTWARE.LOG2
0x000000002122d218      1      1 ------ \Device\NamedPipe\srvsvc
0x000000002122d410      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc
0x000000002122de60      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mprmsg.dll
0x000000002122df18      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\mprmsg.dll.mui
0x000000002125d038      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\psapi.dll
0x000000002125d178      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\comdlg32.dll
0x000000002125d6a8      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\msctf.dll
0x000000002125d890      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\shell32.dll
0x000000002125db58      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\nsi.dll
0x00000000212cd178      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\vga.sys
0x00000000212cdc58      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\msfs.sys
0x0000000021474120      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x00000000214743c0      8      0 R----- \Device\HarddiskVolume1\Windows\Prefetch\SPPSVC.EXE-CBE91656.pf
0x0000000021474b68      3      0 R--rwd \Device\HarddiskVolume1\Windows\System32\mshtml.tlb
0x0000000021474dc8     14      0 R--rwd \Device\HarddiskVolume1\Windows\Microsoft.NET\assembly\GAC_MSIL\System.Core\v4.0_4.0.0.0__b77a5c561934e089\System.Core.dll
0x00000000215ece70     11      0 R--rwd \Device\HarddiskVolume1\Program Files\Process Hacker 2\plugins\ExtendedServices.dll
0x000000002173ac10     11      0 R--rwd \Device\HarddiskVolume1\Program Files\Windows Defender\MpClient.dll
0x000000002194c828      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\pacer.sys
0x000000002194ca18      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\serial.sys
0x000000002194cac0      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\afd.sys
0x000000002194cf80      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\acppage.dll
0x000000002196d1b8      3      1 RW--w- \Device\HarddiskVolume1\pagefile.sys
0x000000002196d260      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\beep.sys
0x000000002196d518      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\null.sys
0x000000002196d5c0      1      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000002196d760      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\RDPREFMP.sys
0x000000002196d8d0      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\RDPENCDD.sys
0x0000000021a97530     10      0 RW-rwd \Device\HarddiskVolume1\$LogFile
0x0000000021a977e8      1      1 RW---- \Device\HarddiskVolume1\Boot\BCD.LOG
0x0000000021a978a0      1      1 RW---- \Device\HarddiskVolume1\Windows\System32\config\SOFTWARE
0x0000000021a97dc8      1      1 ------ \Device\Afd\Endpoint
0x0000000021b65488      2      1 ------ \Device\Afd\Endpoint
0x0000000021e3a110      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\ncrypt.dll
0x0000000021e3a450      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\authz.dll
0x0000000021e3a5d0      7      0 R--rwd \Device\HarddiskVolume1\Windows\win.ini
0x0000000021ea72c0      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\pcasvc.dll
0x0000000021ea7a40      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\bcrypt.dll
0x0000000021ea7b60      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\cngaudit.dll
0x0000000021ed8998      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x0000000021ed8ae8      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\filemgmt.dll
0x0000000021ed8ba0      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\wdc.dll.mui
0x0000000021eda500      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\SCardSvr.dll.mui
0x0000000021eda6e0      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\scfilter.sys
0x0000000021edaa18      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\SCardSvr.dll
0x0000000021edac60      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\Locator.exe
0x0000000021f6c228      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\dxgkrnl.sys
0x0000000021f6c8c8      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\usbport.sys
0x0000000021fa8120      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\tdx.sys
0x0000000021fa83b8      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\npfs.sys
0x0000000021fa8d20      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\wfplwf.sys
0x0000000022156228     12      0 R--rwd \Device\HarddiskVolume1\Windows\System32\SearchFilterHost.exe
0x0000000022156cb8      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x0000000022156e70     10      0 R--rwd \Device\HarddiskVolume1\Program Files\Process Hacker 2\plugins\OnlineChecks.dll
0x000000002230d3a0     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Media Center.evtx
0x000000002230d908     16      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Security.evtx
0x000000002230dd80     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Windows PowerShell.evtx
0x00000000225e1590      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\tdi.sys
0x00000000226afdc8      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\autochk.exe
0x00000000227d1268      1      1 ------ \Device\Afd\Endpoint
0x00000000228c9a78      1      1 ------ \Device\Afd\Endpoint
0x0000000022941390      1      1 ------ \Device\Afd\Endpoint
0x0000000022941770      1      1 ------ \Device\Afd\Endpoint
0x0000000022941c70      1      1 ------ \Device\Afd\Endpoint
0x0000000022941f80      3      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x0000000022be60f0      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\kerberos.dll
0x0000000022be6398      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wscapi.dll
0x0000000022be6538      7      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\msmincho.ttc
0x0000000022be66e0      7      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\msgothic.ttc
0x0000000022be6b90      7      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\mingliub.ttc
0x0000000022be6ce0      7      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\msyh.ttf
0x0000000022be6e30      7      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\msjhbd.ttf
0x0000000022be6f80      6      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\msjh.ttf
0x0000000022c27770      1      1 ------ \Device\NamedPipe\protected_storage
0x0000000022c279b8      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\efslsaext.dll
0x0000000022c5b668      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\dwmapi.dll
0x0000000022c5be40      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\netmsg.dll
0x0000000022e8d6e8      1      1 RW-rw- \Device\HarddiskVolume1\Windows\ServiceProfiles\LocalService\AppData\Local\Microsoft\Windows\WindowsUpdate.log
0x000000002309cd30      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\nsisvc.dll
0x000000002309cf20      2      1 ------ \Device\Afd\Endpoint
0x00000000230b4238      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\sfc_os.dll
0x00000000230b4cb8      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\monitor.sys
0x00000000230b4e08      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\logoncli.dll
0x00000000232019f0      7      0 R--r-d \Device\HarddiskVolume1\Windows\Fonts\dosapp.fon
0x0000000023201c10      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\C_949.NLS
0x0000000023201dc8      7      0 R--r-d \Device\HarddiskVolume1\Program Files\Windows Defender\MsMpLics.dll
